plazo,df
0.002739726,0.999975001
0.019178082,0.999823573
0.038356164,0.999647169
0.060273973,0.999450913
0.087671233,0.999201527
0.167123288,0.998473099
0.252054795,0.997633801
0.336986301,0.996740906
0.419178082,0.99584806
0.509589041,0.994859891
0.75890411,0.991800113
1,0.988563827
1.506849315,0.981183423
2.005479452,0.972693527
3.002739726,0.954199287
4.002739726,0.934493447
5.002739726,0.914165264
7.010958904,0.851735228
10.00547945,0.781818476
12.00821918,0.736803541
15.0109589,0.674157693
20.01369863,0.582462093
25.01917808,0.506693422
30.02465753,0.442322476
40.02739726,0.341431864
50.03287671,0.267091985
